Location,Price,Bedrooms,Bathrooms,Size (sqft),Ownership,Property type,Garden
Newcastle,160500.0,3.0,1.0,450.0,Freehold,Semi-Detached,Yes
Newcastle,253200.0,2.0,1.0,532.0,,Apartment,Patio
Newcastle,276900.0,2.0,1.0,557.0,Freehold,Flat,Patio
Newcastle,,2.0,1.0,,Leasehold,,Patio
Newcastle,212300.0,1.0,2.0,519.0,,Detached,Yes
Newcastle,227100.0,2.0,1.0,482.0,Unknown,Apartment,Patio
Newcastle,184400.0,3.0,1.0,502.0,,Detached,Yes
Newcastle,167600.0,3.0,1.0,420.0,,Semi-Detached,No
Newcastle,307500.0,2.0,2.0,1095.0,,,Yes
Gateshead,146800.0,4.0,1.0,433.0,,Not Specified,Yes
Newcastle,196000.0,4.0,1.0,443.0,Leasehold,Apartment,Yes
Gateshead,143300.0,2.0,2.0,441.0,,Apartment,
,,4.0,1.0,508.0,Leasehold,,No
Gateshead,127300.0,3.0,1.0,445.0,Freehold,Flat,Yes
Morpeth,70600.0,2.0,1.0,410.0,,Not Specified,Yes
Newcastle,200800.0,1.0,2.0,435.0,Unknown,Semi-Detached,Yes
Newcastle,,3.0,1.0,,,Apartment,Not Specified
Gateshead,,1.0,2.0,,,Semi-Detached,
Newcastle,290000.0,1.0,1.0,408.0,,Semi-Detached,No
Gateshead,178900.0,1.0,1.0,510.0,Unknown,Flat,
Gateshead,199900.0,3.0,1.0,416.0,Freehold,Semi-Detached,No
Gateshead,216800.0,2.0,1.0,492.0,,,Yes
Gateshead,334200.0,4.0,1.0,1309.0,Freehold,Semi-Detached,Yes
Newcastle,158900.0,3.0,1.0,490.0,,Detached,
,,2.0,1.0,648.0,Freehold,Flat,Yes
Newcastle,209700.0,3.0,1.0,413.0,,Terraced,No
Sunderland,149500.0,1.0,2.0,539.0,,Semi-Detached,Yes
Newcastle,,3.0,,411.0,,Not Specified,No
Newcastle,252200.0,2.0,1.0,435.0,,,Yes
Gateshead,167100.0,1.0,1.0,432.0,Freehold,Not Specified,Yes
Newcastle,437500.0,2.0,1.0,607.0,,Semi-Detached,No
Newcastle,151700.0,2.0,1.0,429.0,,Terraced,Yes
Newcastle,191900.0,2.0,1.0,426.0,,Terraced,No
Newcastle,195300.0,3.0,1.0,404.0,Freehold,Flat,Yes
Gateshead,178100.0,2.0,1.0,566.0,,Mansionette,Yes
Gateshead,206700.0,4.0,1.0,642.0,,Detached,
Sunderland,,2.0,,524.0,,Semi-Detached,No
Newcastle,245900.0,2.0,1.0,454.0,,Semi-Detached,No
Newcastle,308200.0,2.0,1.0,528.0,,Terraced,
Gateshead,,2.0,1.0,,Leasehold,Apartment,Not Specified
Newcastle,152300.0,3.0,1.0,522.0,,Detached,
Newcastle,111600.0,2.0,1.0,422.0,Freehold,,Yes
Newcastle,108400.0,3.0,1.0,401.0,Freehold,,Patio
Gateshead,156000.0,2.0,2.0,421.0,Freehold,Mansionette,Yes
Newcastle,376600.0,2.0,1.0,716.0,,,No
Newcastle,186300.0,2.0,1.0,491.0,Unknown,Terraced,Yes
Gateshead,,3.0,1.0,,Freehold,Semi-Detached,
,,2.0,1.0,,,Terraced,Yes
Newcastle,838300.0,3.0,1.0,1492.0,,Terraced,No
Newcastle,166200.0,2.0,1.0,412.0,,Detached,No
Newcastle,217400.0,3.0,2.0,432.0,Freehold,Mansionette,Yes
Gateshead,170500.0,6.0,1.0,581.0,Leasehold,Semi-Detached,Yes
Newcastle,670800.0,1.0,2.0,1338.0,,Apartment,Patio
Sunderland,62700.0,2.0,1.0,431.0,Freehold,Semi-Detached,No
Gateshead,222800.0,2.0,2.0,570.0,,Semi-Detached,Yes
Gateshead,134500.0,4.0,1.0,481.0,,Terraced,Yes
Newcastle,260400.0,2.0,1.0,443.0,Leasehold,Apartment,No
Morpeth,133000.0,2.0,1.0,560.0,Freehold,Flat,Not Specified
Gateshead,251900.0,3.0,1.0,725.0,Co-operative Society,Semi-Detached,Yes
Newcastle,260800.0,2.0,1.0,449.0,Leasehold,Semi-Detached,Not Specified
Sunderland,63000.0,,1.0,430.0,Leasehold,Terraced,Not Specified
Newcastle,153300.0,4.0,1.0,425.0,Leasehold,Flat,No
Sunderland,101900.0,1.0,2.0,446.0,Freehold,,Yes
Gateshead,152700.0,3.0,1.0,451.0,Leasehold,Semi-Detached,
Newcastle,197000.0,3.0,2.0,435.0,Leasehold,Semi-Detached,No
Newcastle,212600.0,3.0,1.0,488.0,,Flat,Not Specified
Newcastle,192100.0,2.0,1.0,441.0,Leasehold,Semi-Detached,Yes
Gateshead,122700.0,4.0,1.0,457.0,,Detached,No
Gateshead,170900.0,2.0,2.0,441.0,,Semi-Detached,Yes
Gateshead,186300.0,1.0,1.0,636.0,,,Yes
,,1.0,1.0,426.0,Leasehold,,
Morpeth,64000.0,2.0,1.0,418.0,,Semi-Detached,Yes
Newcastle,191300.0,3.0,2.0,436.0,,Apartment,Yes
Gateshead,,3.0,1.0,,Unknown,Semi-Detached,No
Sunderland,100900.0,4.0,1.0,560.0,,Semi-Detached,Yes
Newcastle,271800.0,2.0,1.0,468.0,Freehold,Terraced,Yes
Newcastle,225900.0,2.0,1.0,608.0,,Not Specified,Yes
Newcastle,,1.0,1.0,,,Terraced,
Newcastle,257900.0,3.0,1.0,452.0,,Detached,Patio
Newcastle,212200.0,4.0,1.0,433.0,,Flat,Not Specified
Sunderland,88200.0,,1.0,470.0,Freehold,Semi-Detached,Yes
Gateshead,255600.0,2.0,1.0,518.0,,Apartment,Yes
Newcastle,187500.0,2.0,1.0,422.0,Freehold,Not Specified,Yes
Gateshead,156900.0,1.0,1.0,426.0,,Detached,
Gateshead,184700.0,3.0,1.0,627.0,Freehold,Not Specified,Not Specified
Gateshead,136500.0,2.0,1.0,438.0,Freehold,Flat,Patio
Gateshead,,2.0,,457.0,Freehold,Detached,Not Specified
Newcastle,149600.0,1.0,1.0,508.0,,Detached,Yes
Gateshead,,2.0,1.0,,Leasehold,Semi-Detached,Yes
Newcastle,174000.0,1.0,2.0,438.0,Leasehold,Terraced,Yes
Gateshead,109700.0,1.0,1.0,412.0,,Flat,Yes
Gateshead,154200.0,3.0,1.0,419.0,,Detached,Not Specified
Gateshead,156900.0,2.0,2.0,420.0,Freehold,Detached,
Gateshead,246300.0,2.0,1.0,523.0,,Not Specified,
Newcastle,136700.0,2.0,1.0,434.0,,Semi-Detached,Patio
Morpeth,43500.0,3.0,1.0,452.0,,,Yes
Gateshead,,3.0,1.0,,,Semi-Detached,
Newcastle,190800.0,1.0,1.0,456.0,,Flat,
Newcastle,257500.0,,1.0,461.0,,Semi-Detached,Patio
Morpeth,,2.0,2.0,,Freehold,Mansionette,Yes
Consett,53400.0,2.0,1.0,407.0,,Mansionette,Yes
Newcastle,268900.0,1.0,1.0,780.0,Leasehold,Detached,Not Specified
Morpeth,124300.0,1.0,1.0,445.0,,Apartment,Yes
Gateshead,383900.0,2.0,1.0,1258.0,,,
Sunderland,103600.0,1.0,1.0,601.0,,Detached,Not Specified
Newcastle,167100.0,2.0,1.0,440.0,,Semi-Detached,Patio
Newcastle,,2.0,1.0,,Freehold,Semi-Detached,Yes
Newcastle,230000.0,3.0,1.0,523.0,Co-operative Society,Semi-Detached,No
Newcastle,206500.0,2.0,1.0,470.0,Leasehold,Terraced,Yes
Sunderland,66500.0,2.0,2.0,411.0,Freehold,Detached,Yes
Gateshead,163700.0,1.0,1.0,425.0,Freehold,Semi-Detached,Yes
Gateshead,,3.0,1.0,,,Apartment,
Newcastle,349700.0,5.0,1.0,581.0,Leasehold,Detached,
Gateshead,150200.0,3.0,1.0,438.0,,Detached,Yes
Newcastle,278600.0,4.0,1.0,500.0,,Terraced,Yes
Newcastle,162000.0,2.0,1.0,513.0,Co-operative Society,Semi-Detached,No
,,2.0,1.0,425.0,,Semi-Detached,Not Specified
Gateshead,225400.0,3.0,1.0,674.0,,Not Specified,Yes
Newcastle,206600.0,2.0,1.0,403.0,,Semi-Detached,
Newcastle,251700.0,3.0,1.0,480.0,Co-operative Society,Mansionette,No
Sunderland,100800.0,5.0,1.0,478.0,,,Yes
Morpeth,57900.0,2.0,1.0,455.0,,Semi-Detached,Yes
Sunderland,52700.0,3.0,1.0,531.0,Unknown,,Patio
Gateshead,125100.0,3.0,1.0,476.0,,Terraced,Yes
Gateshead,121800.0,1.0,1.0,484.0,Co-operative Society,,Yes
Newcastle,356200.0,3.0,1.0,466.0,,Flat,No
