model_index,bayes_R2,elpd_diff
80,0.763,519.4897973077881
96,0.763,524.4486424559127
112,0.763,596.5335606257282
128,0.763,602.8556965349118
76,0.762,518.941460357796
92,0.762,523.5781285802485
108,0.762,595.6381844356032
124,0.762,600.0146611218665
78,0.761,519.367454151696
79,0.761,519.4207947810999
94,0.761,524.0776880288033
95,0.761,524.3383732642915
110,0.761,596.1516030583551
111,0.761,596.3846106519605
126,0.761,600.7391548536359
127,0.761,600.8777677180674
74,0.76,517.9718538771899
75,0.76,518.1018735173857
90,0.76,522.7288407197675
91,0.76,522.9755629135665
106,0.76,594.504982893323
107,0.76,595.2703258950912
122,0.76,598.5221090502628
123,0.76,598.7511883279641
77,0.759,518.9588565356713
93,0.759,523.6031020520539
109,0.759,595.8020150004742
125,0.759,600.6196450585012
73,0.758,517.6991429758866
89,0.758,522.6940054466461
105,0.758,594.4310174175815
121,0.758,598.4376150329573
104,0.571,594.3679537450405
100,0.57,593.3921546060621
120,0.57,598.4116973790851
116,0.569,597.1122788541254
72,0.568,516.8094194393318
88,0.568,522.6462022258978
68,0.567,515.1043394202669
84,0.567,520.41797624013
98,0.566,592.3647843392376
102,0.566,594.1884534680323
114,0.566,596.6697170512981
118,0.566,597.4320976216287
103,0.564,594.3094067913974
115,0.564,596.939151587558
119,0.564,597.5486587213243
66,0.563,513.9059870921593
70,0.563,515.7469542584411
86,0.563,521.1920941414226
99,0.563,592.4983109695328
71,0.562,516.5345449414467
82,0.562,519.739451453552
67,0.561,514.0659440756759
87,0.561,521.4616027136664
83,0.56,520.2229423033829
101,0.56,594.1505732241754
113,0.56,596.5976809452213
117,0.56,597.2231596209745
97,0.559,591.4477408177319
69,0.558,515.4808188185767
85,0.558,520.4372530241932
65,0.557,512.9589535330804
81,0.557,519.5294119474394
64,0.214,254.58720826227488
63,0.212,252.63909172213275
48,0.21,247.00965467427812
62,0.21,251.9596648178534
46,0.208,246.61269544101498
47,0.208,246.81265361605088
61,0.208,251.51919300408457
32,0.207,13.565968297754138
31,0.205,11.847045010293503
45,0.205,246.10952473700806
60,0.205,251.07455742986573
16,0.203,6.55659338327672
30,0.203,10.720513644817075
58,0.202,250.6806382125606
59,0.202,251.06759756617072
29,0.201,10.683328737433921
44,0.201,245.69253309229475
14,0.2,5.6728878813961074
15,0.2,6.487136323800637
43,0.199,245.1666531545816
57,0.199,250.2394094553527
13,0.198,5.121083708464745
28,0.198,10.600886936817107
42,0.198,244.99658161756778
27,0.196,10.465324028743897
41,0.196,244.82509991130664
26,0.195,10.291035090836182
12,0.194,4.958277470576499
25,0.193,10.182968686612059
11,0.192,4.9001960226101655
10,0.191,4.624198366257845
9,0.19,4.618288230990583
56,0.034,249.57968797370734
40,0.03,244.77175541652284
54,0.028,248.51414831251336
55,0.028,248.64190142602524
52,0.025,247.86124461205824
24,0.024,10.15413080153302
38,0.024,243.38421086616532
39,0.023,244.14513734145464
53,0.022,248.17389538404316
8,0.02,4.549595002550024
36,0.02,241.5618367376384
50,0.02,247.44764680612414
51,0.019,247.81328740437294
22,0.018,9.033251886519274
23,0.018,9.401995414877367
37,0.018,242.7769001865852
20,0.016,8.061803061162864
34,0.016,241.17281601672303
35,0.015,241.36264878124507
6,0.014,3.5208319322443895
7,0.014,4.307418941794674
49,0.014,247.0759483761347
21,0.012,8.765066486671532
4,0.011,2.4278266283266596
18,0.01,7.719101210213465
19,0.01,7.7214395112100505
33,0.01,240.0977155649492
5,0.008,3.030072635521913
2,0.006,0.34250784609406715
3,0.005,1.6140035438141016
17,0.004,7.7141348713059035
1,0,-0
